unaccepted_synonym,accepted_synonym,spp_id,resource_id
Aedimorphus vexans,Aedes vexans,Aedvex,WRBU_2010
Stegomyia aegypti,Aedes aegypti,Aedaeg,WRBU_2010
Stegomyia albopicta,Aedes albopictus,Aedalb,WRBU_2010
Culiseta alaskensis,Culiseta alaskaensis,Culala,WRBU_2010
Ochlerotatus aboriginis,Aedes aboriginis,Aedabo,WRBU_2010
Ochlerotatus abserratus,Aedes abserratus,Aedabs,WRBU_2010
Ochlerotatus aloponotum,Aedes aloponotum,Aedalo,WRBU_2010
Ochlerotatus atlanticus,Aedes atlanticus,Aedatl,WRBU_2010
Ochlerotatus aurifer,Aedes aurifer,Aedaur,WRBU_2010
Ochlerotatus bimaculatus,Aedes bimaculatus,Aedbim,WRBU_2010
Ochlerotatus campestris,Aedes campestris,Aedcam,WRBU_2010
Ochlerotatus cantator,Aedes cantator,Aedcan3,WRBU_2010
Ochlerotatus cataphylla,Aedes cataphylla,Aedcat,WRBU_2010
Ochlerotatus churchillensis,Aedes churchillensis,Aedchu,WRBU_2010
Ochlerotatus clivis,Aedes clivis,Aedcli,WRBU_2010
Ochlerotatus communis,Aedes communis,Aedcom,WRBU_2010
Ochlerotatus decticus,Aedes decticus,Aeddec,WRBU_2010
Ochlerotatus diantaeus,Aedes diantaeus,Aeddia,WRBU_2010
Ochlerotatus dorsalis,Aedes dorsalis,Aeddor,WRBU_2010
Ochlerotatus dupreei,Aedes dupreei,Aeddup,WRBU_2010
Ochlerotatus euedes,Aedes euedes,Aedeue,WRBU_2010
Ochlerotatus excrucians,Aedes excrucians,Aedexc,WRBU_2010
Ochlerotatus fitchii,Aedes fitchii,Aedfit,WRBU_2010
Ochlerotatus flavescens,Aedes flavescens,Aedfla,WRBU_2010
Ochlerotatus grossbecki,Aedes grossbecki,Aedgro,WRBU_2010
Ochlerotatus hexodontus,Aedes hexodontus,Aedhex,WRBU_2010
Ochlerotatus impiger,Aedes impiger,Aedimp1,WRBU_2010
Ochlerotatus implicatus,Aedes implicatus,Aedimp2,WRBU_2010
Ochlerotatus increpitus,Aedes increpitus,Aedinc,WRBU_2010
Ochlerotatus infirmatus,Aedes infirmatus,Aedinf,WRBU_2010
Ochlerotatus intrudens,Aedes intrudens,Aedint,WRBU_2010
Ochlerotatus melanimon,Aedes melanimon,Aedmel,WRBU_2010
Ochlerotatus mercurator,Aedes mercurator,Aedmer,WRBU_2010
Ochlerotatus mitchellae,Aedes mitchellae,Aedmit,WRBU_2010
Ochlerotatus nevadensis,Aedes nevadensis,Aednev,WRBU_2010
Ochlerotatus niphadopsis,Aedes niphadopsis,Aednip,WRBU_2010
Ochlerotatus pionips,Aedes pionips,Aedpio,WRBU_2010
Ochlerotatus pullatus,Aedes pullatus,Aedpul,WRBU_2010
Ochlerotatus punctodes,Aedes punctodes,Aedpun1,WRBU_2010
Ochlerotatus punctor,Aedes punctor,Aedpun2,WRBU_2010
Ochlerotatus rempeli,Aedes rempeli,Aedrem,WRBU_2010
Ochlerotatus riparius,Aedes riparius,Aedrip,WRBU_2010
Ochlerotatus scapularis,Aedes scapularis,Aedsca,WRBU_2010
Ochlerotatus schizopinax,Aedes schizopinax,Aedsch,WRBU_2010
Ochlerotatus sollicitans,Aedes sollicitans,Aedsol,WRBU_2010
Ochlerotatus squamiger,Aedes squamiger,Aedsqu,WRBU_2010
Ochlerotatus sticticus,Aedes sticticus,Aedsti1,WRBU_2010
Ochlerotatus stimulans,Aedes stimulans,Aedsti2,WRBU_2010
Ochlerotatus taeniorhynchus,Aedes taeniorhynchus,Aedtae,WRBU_2010
Ochlerotatus tahoensis,Aedes tahoensis,Aedtah,WRBU_2010
Ochlerotatus thelcter,Aedes thelcter,Aedthe,WRBU_2010
Ochlerotatus thibaulti,Aedes thibaulti,Aedthi,WRBU_2010
Ochlerotatus tormentor,Aedes tormentor,Aedtor1,WRBU_2010
Ochlerotatus tortilis,Aedes tortilis,Aedtor2,WRBU_2010
Ochlerotatus trivittatus,Aedes trivittatus,Aedtri1,WRBU_2010
Ochlerotatus ventrovittis,Aedes ventrovittis,Aedven,WRBU_2010
Ochlerotatus washinoi,Aedes washinoi,Aedwas,WRBU_2010
Ochlerotatus brelandi,Aedes brelandi,Aedbre,WRBU_2010
Ochlerotatus burgeri,Aedes burgeri,Aedbur,WRBU_2010
Ochlerotatus hendersoni,Aedes hendersoni,Aedhen,WRBU_2010
Ochlerotatus triseriatus,Aedes triseriatus,Aedtri2,WRBU_2010
Ochlerotatus zoosophus,Aedes zoosophus,Aedzoo,WRBU_2010
Ochlerotatus bicristatus,Aedes bicristatus,Aedbic,WRBU_2010
Ochlerotatus provocans,Aedes provocans,Aedpro,WRBU_2010
Hulecoeteomyia japonica,Aedes japonicus,Aedjap,WRBU_2010
Tanakaius togoi,Aedes togoi,Aedtog,WRBU_2010
Gymnometopa mediovittata,Aedes mediovittatus,Aedmed,WRBU_2010
Georgecraigius atropalpus,Aedes atropalpus,Aedatr,WRBU_2010
Ochlerotatus canadensis,Aedes canadensis,Aedcan1,WRBU_2010
Ochlerotatus condolescens,Aedes condolescens,Aedcon,WRBU_2010
Jarnellius deserticola,Aedes deserticola,Aeddes,WRBU_2010
Georgecraigius epactius,Aedes epactius,Aedepa,WRBU_2010
Jarnellius monticola,Aedes monticola,Aedmon,WRBU_2010
Lewnielsenius muelleri,Aedes muelleri,Aedmue,WRBU_2010
Toxorhynchites nigripes,Aedes nigripes,Aednig1,WRBU_2010
Ochlerotatus nigromaculis,Aedes nigromaculis,Aednig2,WRBU_2010
Ochlerotatus obturbator,Aedes obturbator,Aedobt,WRBU_2010
Tripteroides serratus,Aedes serratus,Aedser,WRBU_2010
Jarnellius sierrensis,Aedes sierrensis,Aedsie,WRBU_2010
Ochlerotatus spencerii,Aedes spencerii,Aedspe,WRBU_2010
Jarnellius varipalpus,Aedes varipalpus,Aedvar,WRBU_2010
Ochlerotatus kompi,Aedes kompi,Aedkom,WRBU_2010
Abraedes papago,Aedes papago,Aedpap,WRBU_2010
Howardina bahamensis,Aedes bahamensis,Aedbah,WRBU_2010
Kompia purpureipes,Aedes purpureipes,Aedpur,WRBU_2010
Ochlerotatus togoi,Aedes togoi,Aedtog,WRBU_2010
Ochlerotatus atropalpus,Aedes atropalpus,Aedatr,WRBU_2010
Ochlerotatus deserticola,Aedes deserticola,Aeddes,WRBU_2010
Ochlerotatus epactius,Aedes epactius,Aedepa,WRBU_2010
Ochlerotatus fulvus pallens,Aedes fulvus pallens,Aedful,WRBU_2010
Ochlerotatus monticola,Aedes monticola,Aedmon,WRBU_2010
Ochlerotatus muelleri,Aedes muelleri,Aedmue,WRBU_2010
Ochlerotatus nigripes,Aedes nigripes,Aednig1,WRBU_2010
Ochlerotatus nigrimaculis,Aedes nigromaculis,Aednig2,WRBU_2010
Ochlerotatus sierrensis,Aedes sierrensis,Aedsie,WRBU_2010
Ochlerotatus varipalpus,Aedes varipalpus,Aedvar,WRBU_2010
Ochlerotatus papago,Aedes papago,Aedpap,WRBU_2010
Ochlerotatus bahamensis,Aedes bahamensis,Aedbah,WRBU_2010
Ochlerotatus purpureipes,Aedes purpureipes,Aedpur,WRBU_2010
