genus,sp,subsp,common name,common name,state,status,notes
Dermochelys,coriacea,, leatherback,Sea turtle,California,Endangered,
Caretta, caretta,, loggerhead ,Sea turtle,California,Threatened,
 Lepidochelys, olivacea,, olive ridley,Sea turtle,California,Threatened,except where endangered
Ovis, canadensis, nelsoni, Peninsular bighorn,Sheep,California,Endangered,
Ovis, canadensis, sierrae, Sierra Nevada bighorn,Sheep,California,Endangered,
 Sorex, ornatus, relictus, Buena Vista Lake ornate,Shrew,California,Endangered,
 Lanius, ludovicianus, mearnsi, San Clemente loggerhead,Shrike,California,Endangered,
Syncaris, pacifica,, California freshwater ,Shrimp,California,Endangered,
Pseudocopaeodes, eunus, obscurus, Carson wandering ,Skipper,California,Endangered,
 Pyrgus, ruralis, lagunae, Laguna Mountains,Skipper,California,Endangered,
Hypomesus, transpacificus,, delta,Smelt,California,Threatened,
Helminthoglypta, walkeriana,, Morro shoulderband,Snail,California,Endangered,
Thamnophis, gigas,, giant garter,Snake,California,Threatened,
Thamnophis, sirtalis, tetrataenia, San Francisco garter,Snake,California,Endangered,
Amphispiza, belli, clementeae, San Clemente sage,Sparrow,California,Threatened,
Oncorhynchus, mykiss,, central CA coast,Steelhead,California,Threatened,
Oncorhynchus, mykiss,, Central Valley CA,Steelhead,California,Threatened,
Oncorhynchus,mykiss,, northern CA,Steelhead,California,Threatened,
Oncorhynchus, mykiss,, south central CA coast,Steelhead,California,Threatened,
Oncorhynchus,mykiss,, southern CA coast,Steelhead,California,Endangered,
Gasterosteus, aculeatus, williamsoni, unarmored threespine,Stickleback,California,Endangered,
 Mycteria, americana,, wood,Stork,California,Endangered, AL FL GA SC 
 Acipenser, medirostris,, North American green,Sturgeon,California,Threatened, U.S.A. 
 Acipenser, transmontanus,, white,Sturgeon,California,Endangered, U.S.A. 
 Deltistes, luxatus,, Lost River,Sucker,California,Endangered,
 Catostomus, microps,, Modoc,Sucker,California,Endangered,
 Xyrauchen, texanus,, razorback,Sucker,California,Endangered, entire
 Catostomus, santaanae,, Santa Ana 3 CA river basins,Sucker,California,Threatened,
 Chasmistes, brevirostris,, shortnose,Sucker,California,Endangered,
 Lepidurus, packardi,, vernal pool,Tadpole shrimp,California,Endangered,
Sterna, antillarum, browni, California least ,Tern,California,Endangered,
 Cicindela, ohlone,, Ohlone,Tiger beetle,California,Endangered,
 Bufo, microscaphus,, arroyo,Toad,California,Endangered,
 Gopherus, agassizii,, desert,Tortoise,California,Threatened, U.S.A. except in Sonoran Desert
 Pipilo, crissalis, eremophilus, Inyo California,Towhee,California,Threatened,
 Salvelinus, confluentus,, bull,Trout,California,Threatened, U.S.A. conterminous lower 48 states
 Oncorhynchus, clarki, henshawi, Lahontan cutthroat,Trout,California,Threatened,
 Oncorhynchus, aguabonita, whitei, Little Kern golden,Trout,California,Threatened,
 Oncorhynchus, clarki, seleniris, Paiute cutthroat,Trout,California,Threatened,
 Gila, bicolor, snyderi, Owens,tui chub,California,Endangered,
 Vireo, bellii, pusillus, least Bell's,Vireo,California,Endangered,
Microtus, californicus, scirpensis, Amargosa,Vole,California,Endangered,
 Balaenoptera, musculus,, blue,Whale,California,Endangered,
 Balaenoptera, physalus,, finback,Whale,California,Endangered,
 Megaptera, novaeangliae,, humpback,Whale,California,Endangered,
 Orcinus, orca,, killer Southern Resident DPS,Whale,California,Endangered,
 Balaenoptera, borealis,, Sei,Whale,California,Endangered,
 Physeter, catodon,, sperm,Whale,California,Endangered,
 Masticophis,lateralis,euryxanthus, Alameda,Whipsnake,California,Threatened,
 Canis, lupus,, gray,Wolf,California,Endangered,U.S.A. All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Neotoma, fuscipes,riparia, riparian,Woodrat,California,Endangered,
Plagiobothrys,strictus,, Calistoga,Allocarya,California,Endangered,
 Alopecurus,aequalis,sonomensis, Sonoma,Alopecurus,California,Endangered,
Ambrosia, pumila,, San Diego,Ambrosia,California,Endangered,
Chlorogalum, purpureum,, purple ,Amole,California,Threatened,
 Baccharis, vanessae,, Encinitas,Baccharis,California,Threatened,
Berberis, pinnata, insularis, island,Barberry,California,Endangered,
Berberis, nevinii,, Nevin's,Barberry,California,Endangered,
 Galium,californicum,sierrae, El Dorado,Bedstraw,California,Endangered,
 Galium, buxifolium,, island,Bedstraw,California,Endangered,
Cordylanthus, palmatus,, palmate-bracted,Bird's beak,California,Endangered,
Cordylanthus, tenuis, capillaris, Pennell's,Bird's-beak,California,Endangered,
Cordylanthus, maritimus, maritimus, salt marsh ,Bird's-beak,California,Endangered,
 Cordylanthus, mollis, mollis, soft,Bird's-beak,California,Endangered,
 Lesquerella, kingii, bernardina, San Bernardino Mountains,Bladderpod,California,Endangered,
 Trichostema, austromontanum, compactum, Hidden Lake,Bluecurls,California,Threatened,
 Poa ,napensis,, Napa,Bluegrass,California,Endangered,
 Poa, atropurpurea,, San Bernardino,Bluegrass,California,Endangered,
 Brodiaea, pallida,, Chinese Camp,Brodiaea,California,Threatened,
 Brodiaea, filifolia,, thread-leaved,Brodiaea,California,Threatened,
 Lotus, dendroideus, traskiae, San Clemente Island,Broom,California,Endangered,
 Eriogonum, ovalifolium, vineum, cushenbury,Buckwheat,California,Endangered,
Eriogonum ,apricum,, Ione ,Buckwheat,California,Endangered,
 Malacothamnus, clementinus,, San Clemente Island,Bush-mallow,California,Endangered,
 Malacothamnus, fasciculatus, nesioticus, Santa Cruz Island,Bush-mallow,California,Endangered,
 Senecio, layneae,, Layne's,Butterweed,California,Threatened,
 Eryngium, aristulatum, parishii, San Diego,Button-celery,California,Endangered,
 Opuntia, treleasei,, Bakersfield,Cactus,California,Endangered,
 Ceanothus, ferrisae,, coyote,Ceanothus,California,Endangered,
 Ceanothus, roderickii,, Pine Hill,Ceanothus,California,Endangered,
 Ceanothus, ophiochilus,, Vail Lake,Ceanothus,California,Threatened,
 Centaurium, namophilum,, spring-loving,Centaury,California,Threatened,
 Sidalcea, keckii,, Keck's,Checker-mallow,California,Endangered,
Sidalcea, oregana, valida, Kenwood Marsh,Checker-mallow,California,Endangered,
 Sidalcea, pedata,, pedate,Checker-mallow,California,Endangered,
Clarkia, speciosa, immaculata, Pismo ,Clarkia,California,Endangered,
Clarkia, franciscana,, Presidio ,Clarkia,California,Endangered,
Clarkia, springvillensis,, Springville ,Clarkia,California,Threatened,
Clarkia, imbricata,, Vine Hill ,Clarkia,California,Endangered,
Trifolium, trichocalyx,, Monterey ,Clover,California,Endangered,
Trifolium, amoenum,, showy Indian ,Clover,California,Endangered,
Verbesina, dissita,, big-leaved ,Crownbeard,California,Threatened,
Atriplex, coronata, notatior, San Jacinto Valley ,Crownscale,California,Endangered,
Cupressus, goveniana, goveniana, Gowen ,Cypress,California,Threatened,
Cupressus, abramsiana,, Santa Cruz ,Cypress,California,Endangered,
Erigeron, parishii,, Parish's ,Daisy,California,Threatened,
Dudleya, abramsii, parva, Conejo ,Dudleya,California,Threatened,
Dudleya, cymosa, marcescens, marcescent ,Dudleya,California,Threatened,
Dudleya, setchellii,, Santa Clara Valley ,Dudleya,California,Endangered,
Dudleya, nesiotica,, Santa Cruz Island ,Dudleya,California,Threatened,
Dudleya, verityi,, Verity's ,Dudleya,California,Threatened,
Dudleya, cymosa, ovatifolia, Santa Monica Mountains ,Dudleyea,California,Threatened,
Hesperolinon, congestum,, Marin ,Dwarf-flax,California,Threatened,
Oenothera, deltoides, howellii, Antioch Dunes ,Evening-primrose,California,Endangered,
Oenothera, avita, eurekensis, Eureka Valley ,Evening-primrose,California,Endangered,
Camissonia, benitensis,, San Benito ,Evening-primrose,California,Threatened,
Amsinckia, grandiflora,, large-flowered ,Fiddleneck,California,Endangered,
Fremontodendron, mexicanum,, Mexican ,Flannelbush,California,Endangered,
Fremontodendron, californicum, decumbens, Pine Hill ,Flannelbush,California,Endangered,
Thysanocarpus, conchuliferus,, Santa Cruz Island ,Fringepod,California,Endangered,
Gilia, tenuiflora, hoffmannii, Hoffmann's slender-flowered ,Gilia,California,Endangered,
Gilia, tenuiflora, arenaria, Monterey ,Gilia,California,Endangered,
Lasthenia, burkei,, Burke's ,Goldfields,California,Endangered,
Lasthenia, conjugens,, Contra Costa ,Goldfields,California,Endangered,
Neostapfia, colusana,, Colusa ,Grass,California,Threatened,
Swallenia, alexandrae,, Eureka Dune ,Grass,California,Endangered,
Tuctoria, mucronata,, Solano ,Grass,California,Endangered,
Grindelia, fraxino-pratensis,, Ash Meadows ,Gumplant,California,Threatened,
Howellia, aquatilis,, water ,Howellia,California,Threatened,
Castilleja, grisea,, San Clemente Island ,Indian paintbrush,California,Endangered,
Caulanthus, californicus,, California ,Jewelflower,California,Endangered,
Streptanthus, albidus, albidus, Metcalf Canyon ,Jewelflower,California,Endangered,
Streptanthus, niger,, Tiburon ,Jewelflower,California,Endangered,
Delphinium, bakeri,, Baker's ,Larkspur,California,Endangered,
Delphinium, variegatum, kinkiense, San Clemente Island ,Larkspur,California,Endangered,
Delphinium, luteum,, yellow ,Larkspur,California,Endangered,
Layia, carnosa,, beach ,Layia,California,Endangered,
Lessingia, germanorum, germanorum, San Francisco ,Lessingia,California,Endangered,
Lilium, pardalinum, pitkinense, Pitkin Marsh ,Lily,California,Endangered,
Lilium, occidentale,, Western ,Lily,California,Endangered,
Dudleya, stolonifera,, Laguna Beach ,Liveforever,California,Threatened,
Dudleya, traskiae,, Santa Barbara Island ,Liveforever,California,Endangered,
Lupinus, tidestromii,, clover ,Lupine,California,Endangered,
Lupinus, nipomensis,, Nipomo Mesa ,Lupine,California,Endangered,
Malacothrix, squalida,, island ,Malacothrix,California,Endangered,
Malacothrix, indecora,, Santa Cruz Island ,Malacothrix,California,Endangered,
Eremalche, kernensis,, Kern ,Mallow,California,Endangered,
Arctostaphylos, glandulosa, crassifolia, Del Mar ,Manzanita,California,Endangered,
Arctostaphylos, myrtifolia,, Ione ,Manzanita,California,Threatened,
Arctostaphylos, morroensis,, Morro ,Manzanita,California,Threatened,
Arctostaphylos, pallida,, pallid ,Manzanita,California,Threatened,
Arctostaphylos, hookeri, ravenii, Presidio ,Manzanita,California,Endangered,
Arctostaphylos, confertiflora,, Santa Rosa Island ,Manzanita,California,Endangered,
Calochortus, tiburonensis,, Tiburon ,Mariposa lily,California,Threatened,
Limnanthes, floccosa,, Butte County ,Meadowfoam,California,Endangered,
Limnanthes, vinculans,, Sebastopol ,Meadowfoam,California,Endangered,
Pogogyne, nudiuscula,, Otay ,Mesa-mint,California,Endangered,
Pogogyne, abramsii,, San Diego ,Mesa-mint,California,Endangered,
Astragalus, brauntonii,, Braunton's ,Milk-vetch,California,Endangered,
Astragalus, clarianus,, Clara Hunt's ,Milk-vetch,California,Endangered,
Astragalus, lentiginosus, coachellae, Coachella Valley ,Milk-vetch,California,Endangered,
Astragalus, tener, titi, coastal dunes ,Milk-vetch,California,Endangered,
Astragalus, albens,, Cushenbury ,Milk-vetch,California,Endangered,
Astragalus, lentiginosus, piscinensis, Fish Slough ,Milk-vetch,California,Threatened,
Astragalus, jaegerianus,, Lane Mountain ,Milk-vetch,California,Endangered,
Astragalus, magdalenae, peirsonii, Peirson's ,Milk-vetch,California,Threatened,
Astragalus, tricarinatus,, triple-ribbed ,Milk-vetch,California,Endangered,
Astragalus, pycnostachyus, lanosissimus, Ventura Marsh ,Milk-vetch,California,Endangered,
Monardella, viminea,, willowy ,Monardella,California,Endangered,
Calystegia, stebbinsii,, Stebbins' ,Morning-glory,California,Endangered,
Eriodictyon, altissimum,, Indian Knob ,Mountain balm,California,Endangered,
Cercocarpus, traskiae,, Catalina Island ,Mountain-mahogany,California,Endangered,
Thelypodium, stenopetalum,, slender-petaled ,Mustard,California,Endangered,
Navarretia, leucocephala, pauciflora, few-flowered ,Navarretia,California,Endangered,
Navarretia, leucocephala, plieantha, many-flowered ,Navarretia,California,Endangered,
Navarretia, fossalis,, spreading ,Navarretia,California,Threatened,
Nitrophila, mohavensis,, Amargosa ,Niterwort,California,Endangered,
Allium, munzii,, Munz's ,Onion,California,Endangered,
Orcuttia, californica,, California ,Orcutt grass,California,Endangered,
Orcuttia, pilosa,, hairy ,Orcutt grass,California,Endangered,
Orcuttia, viscida,, Sacramento ,Orcutt grass,California,Endangered,
Orcuttia, inaequalis,, San Joaquin ,Orcutt grass,California,Threatened,
Orcuttia, tenuis,, slender ,Orcutt grass,California,Threatened,
Castilleja, campestris, succulenta, fleshy ,Owl's-clover,California,Threatened,
Oxytheca, parishii, goodmaniana, cushenbury ,Oxytheca,California,Endangered,
Castilleja, cinerea,, ash-grey ,Paintbrush,California,Threatened,
Castilleja, mollis,, soft-leaved ,Paintbrush,California,Endangered,
Castilleja, affinis, neglecta, Tiburon ,Paintbrush,California,Endangered,
Thlaspi, californicum,, Kneeland Prairie ,Penny-cress,California,Endangered,
Pentachaeta, lyonii,, Lyon's ,Pentachaeta,California,Endangered,
Pentachaeta, bellidiflora,, white-rayed ,Pentachaeta,California,Endangered,
Phacelia, insularis, insularis, island ,Phacelia,California,Endangered,
Phlox, hirsuta,, Yreka ,Phlox,California,Endangered,
Piperia, yadonii,, Yadon's ,Piperia,California,Endangered,
Polygonum, hickmanii,, Scotts Valley ,Polygonum,California,Endangered,
Potentilla, hickmanii,, Hickman's ,Potentilla,California,Endangered,
Calyptridium, pulchellum,, Mariposa ,Pussypaws,California,Threatened,
Arabis, hoffmannii,, Hoffmann's ,Rock-cress,California,Endangered,
Arabis, macdonaldiana,, McDonald's ,Rock-cress,California,Endangered,
Sibara, filifolia,, Santa Cruz Island ,Rockcress,California,Endangered,
Helianthemum, greenei,, island ,Rush-rose,California,Threatened,
Arenaria, ursina,, Bear Valley ,Sandwort,California,Threatened,
Arenaria, paludicola,, Marsh ,Sandwort,California,Endangered,
Suaeda, californica,, California ,Seablite,California,Endangered,
Carex, albida,, white ,Sedge,California,Endangered,
Chorizanthe, pungens, hartwegiana, Ben Lomond ,Spineflower,California,Endangered,
Chorizanthe, howellii,, Howell's ,Spineflower,California,Endangered,
Chorizanthe, pungens, pungens, Monterey ,Spineflower,California,Threatened,
Chorizanthe, orcuttiana,, Orcutt's ,Spineflower,California,Endangered,
Chorizanthe, robusta, , Robust ,Spineflower,California,Endangered, 
Dodecahema, leptoceras,, slender-horned ,Spineflower,California,Endangered,
Chorizanthe, valida,, Sonoma ,Spineflower,California,Endangered,
Chamaesyce, hooveri,, Hoover's ,Spurge,California,Threatened,
Parvisedum, leiocarpum,, Lake County ,Stonecrop,California,Endangered,
Pseudobahia, bahiifolia,, Hartweg's golden ,Sunburst,California,Endangered,
Pseudobahia, peirsonii,, San Joaquin adobe ,Sunburst,California,Threatened,
Eriophyllum, latilobum,, San Mateo woolly ,Sunflower,California,Endangered,
Blennosperma, bakeri,, Sonoma ,Sunshine,California,Endangered,
Taraxacum, californicum,, California ,Taraxacum,California,Endangered,
Deinandra, increscens, villosa, Gaviota ,Tarplant,California,Endangered,
Deinandra , conjugens,, Otay ,Tarplant,California,Threatened,
Holocarpha, macradenia,, Santa Cruz ,Tarplant,California,Threatened,
Cirsium, fontinale, obispoense, Chorro Creek bog ,Thistle,California,Endangered,
Cirsium, fontinale, fontinale, fountain ,Thistle,California,Endangered,
Cirsium, loncholepis,, La Graciosa ,Thistle,California,Endangered,
Eryngium, constancei,, Loch Lomond coyote ,Thistle,California,Endangered,
Cirsium, hydrophilum, hydrophilum, Suisun ,Thistle,California,Endangered,
Acanthomintha, ilicifolia,, San Diego ,Thornmint,California,Threatened,
Acanthomintha, obovata, duttonii, San Mateo ,Thornmint,California,Endangered,
Tuctoria, greenei,, Greene's ,Tuctoria,California,Endangered,
Verbena, californica,, Red Hills ,Vervain,California,Threatened,
Erysimum, teretifolium,, Ben Lomond ,Wallflower,California,Endangered,
Erysimum, capitatum, angustatum, Contra Costa ,Wallflower,California,Endangered,
Erysimum, menziesii,, Menzies' ,Wallflower,California,Endangered,
Rorippa, gambellii,, Gambel's ,Watercress,California,Endangered,
Eriogonum, kennedyi, austromontanum, southern mountain ,Wild-buckwheat,California,Threatened,
Lithophragma, maximum,, San Clemente Island ,Woodland-star,California,Endangered,
Eriastrum, densifolium, sanctorum, Santa Ana River ,Woolly-star,California,Endangered,
Monolopia ,congdonii,, San Joaquin ,Wooly-threads,California,Endangered,
Eriodictyon, capitatum,, Lompoc ,Yerba santa,California,Endangered,
Ursus,arctos,horribilis,grizzly,Bear,Colorado,Threatened,except where listed as an experimental population or delisted
Boloria,acrocnema,,Uncompahgre fritillary,Butterfly,Colorado,Endangered,
Gila,elegans,,bonytail entire,Chub,Colorado,Endangered,
Gila,cypha,,humpback entire,Chub,Colorado,Endangered,
Grus,americana,,whooping,Crane,Colorado,Endangered,except where EXPN
Numenius,borealis,,Eskimo,Curlew,Colorado,Endangered,
Mustela,nigripes,,black-footed,Ferret,Colorado,Endangered,entire population except where EXPN 
Empidonax,traillii,extimus,southwestern willow,Flycatcher,Colorado,Endangered,
Lynx,canadensis,,Canada,Lynx,Colorado,Threatened,Contiguous U.S. DPS
Zapus,hudsonius,preblei,Preble's meadow jumping,Mouse,Colorado,Threatened,U.S.A. north-central CO
Strix,occidentalis,lucida,Mexican spotted,Owl,Colorado,Threatened,
Ptychocheilus, lucius,,,Pikeminnow,Colorado,Endangered,Colorado except Salt and Verde R. drainages AZ 
Charadrius, melodus,,piping,Plover,Colorado,Threatened,except Great Lakes watershed 
Charadrius,alexandrinus,nivosus,western snowy,Plover,Colorado,Threatened,Pacific coastal pop. 
Hesperia ,leonardus ,montana,Pawnee montane,Skipper,Colorado,Threatened,
Xyrauchen,texanus,,razorback,Sucker,Colorado,Endangered,entire
Sterna,antillarum,,least,Tern,Colorado,Endangered,interior pop.
Oncorhynchus,clarki,stomias,Greenback Cutthroat,trout,Colorado,Threatened,
Canis,lupus,,gray,Wolf,Colorado,Endangered,U.S.A. All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Penstemon,debilis,,Parachute,Beardtongue,Colorado,Threatened,
Penstemon,penlandii,,Penland,Beardtongue,Colorado,Endangered,
Lesquerella,congesta,,Dudley Bluffs,Bladderpod,Colorado,Threatened,
Gaura,neomexicana,coloradensis,Colorado,Butterfly plant,Colorado,Threatened,
Sclerocactus,glaucus,,Colorado hookless,Cactus,Colorado,Threatened,
Pediocactus,knowltonii,,Knowlton's,Cactus,Colorado,Endangered,
Sclerocactus,mesae-verdae,,Mesa Verde,Cactus,Colorado,Threatened,
Spiranthes,diluvialis,,Ute,Ladies'-tresses,Colorado,Threatened,
Astragalus,humillimus,,Mancos,Milk-vetch,Colorado,Endangered,
Astragalus,osterhoutii,,Osterhout,Milk-vetch,Colorado,Endangered,
Eutrema, penlandii,,Penland alpine fen,Mustard,Colorado,Threatened,
Phacelia,submutica,,DeBeque,Phacelia,Colorado,Threatened,
Phacelia,formosula,,North Park,Phacelia,Colorado,Endangered,
Ipomopsis,polyantha,,Pagosa,Skyrocket,Colorado,Endangered,
Physaria, obcordata,,Dudley Bluffs,Twinpod,Colorado,Threatened,
Eriogonum,pelinophilum,,clay-loving,wild buckwheat,Colorado,Endangered,
Nicrophorus,americanus,,Beetle,American burying,Connecticut,Endangered,
Numenius,borealis,,Curlew, Eskimo,Connecticut,Endangered,
Charadrius,melodus,,Plover,piping,Connecticut,Threatened,except Great Lakes watershed
Felis,concolor,couguar,Puma,eastern,Connecticut,Endangered,couguar
Chelonia ,mydas,,Sea turtle,green,Connecticut,Threatened,except where endangered
Eretmochelys,imbricata,,Sea turtle,hawksbill,Connecticut,Endangered,
Lepidochelys,kempii,,Sea turtle,Kemp's ridley,Connecticut,Endangered,
Dermochelys,coriacea,,Sea turtle,leatherback,Connecticut,Endangered,
Caretta,caretta,,Sea turtle,loggerhead,Connecticut,Threatened,
Acipenser,brevirostrum,,Sturgeon,shortnose,Connecticut,Endangered,
Sterna,dougallii,dougallii,Tern, roseate,Connecticut,Endangered,dougallii
Cicindela,dorsalis,dorsalis,Tiger beetle,northeastern beach,Connecticut,Threatened,dorsalis
Cicindela,puritana,,Tiger beetle,Puritan,Connecticut,Threatened,
Clemmys,muhlenbergii,,Turtle,bog,Connecticut,Threatened,
Alasmidonta,heterodon,,Wedgemussel,dwarf,Connecticut,Endangered,
Balaenoptera,physalus,,Whale,finback,Connecticut,Endangered,
Eubalaena,glacialis,,Whale,North Atlantic Right,Connecticut,Endangered,
Canis,lupus,,Wolf,gray,Connecticut,Endangered,U.S.A. All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Schwalbea,americana,,Chaffseed,American,Connecticut,Endangered,
Agalinis,acuta,,Gerardia,sandplain,Connecticut,Endangered,
Isotria,medeoloides,,Pogonia,small whorled,Connecticut,Threatened,
Nicrophorus,americanus,,American burying,Beetle,Deleware,Endangered,
Numenius,borealis,, Eskimo,Curlew,Deleware,Endangered,
except Great Lakes watershed,Charadrius,melodus,piping,Plover,Deleware,Threatened,
Felis,concolor,couguar,eastern,Puma,Deleware,Endangered,
except where endangered,Chelonia,mydas,green,Sea turtle,Deleware,Threatened,
Eretmochelys,imbricata,,hawksbill,Sea turtle,Deleware,Endangered,
Lepidochelys,kempii,,Kemp's ridley,Sea turtle,Deleware,Endangered,
Dermochelys,coriacea,,leatherback,Sea turtle,Deleware,Endangered,
Caretta,caretta,,loggerhead,Sea turtle,Deleware,Threatened,
Sciurus,niger,cinereus,fox,Squirrel,Deleware,Endangered,Delmarva Peninsula Entire except Sussex Co. DE
Acipenser,brevirostrum,,shortnose,Sturgeon,Deleware,Endangered,
Clemmys,muhlenbergii,,bog,Turtle,Deleware,Threatened,
Alasmidonta,heterodon,,dwarf,Wedgemussel,Deleware,Endangered,
Balaenoptera,physalus,,finback,Whale,Deleware,Endangered,
Megaptera,novaeangliae,,humpback,Whale,Deleware,Endangered,
Eubalaena,glacialis,,North Atlantic Right,Whale,Deleware,Endangered,
Canis,lupus,,gray,Wolf,Deleware,Endangered,U.S.A. All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Amaranthus,pumilus,,seabeach,Amaranth,Deleware,Threatened,
Rhynchospora,knieskernii,,Knieskern's,Beaked-rush,Deleware,Threatened,
Schwalbea,americana,,American,Chaffseed,Deleware,Endangered,
Oxypolis,canbyi,,Canby's,Dropwort,Deleware,Endangered,
Aeschynomene,virginica,,sensitive,Joint-vetch,Deleware,Threatened,
Helonias,bullata,,swamp,Pink,Deleware,Threatened,
Isotria,medeoloides,,small whorled,Pogonia,Deleware,Threatened,
Canis,lupus,,gray,Wolf,District of Columbia,Endangered,U.S.A. All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT and WV those portions of AZ NM and TX not included in an experimental population and portions of IA IN IL ND OH OR SD UT and WA Mexico
Stygobromus,hayi,,Hay's Spring,Amphipod,District of Columbia,Endangered,
Nicrophorus,americanus,,American burying,Beetle,District of Columbia,Endangered,
Numenius,borealis,,Eskimo,Curlew,District of Columbia,Endangered,
Felis,concolor,couguar,eastern,Puma,District of Columbia,Endangered,
Alasmidonta,heterodon,,dwarf,Wedgemussel,District of Columbia,Endangered,
Isotria,medeoloides,,small whorled,Pogonia,District of Columbia,Threatened,
